Feature,Instance,X,Y,Weight
A,1,1404.75,3482.62,0.08
A,2,1402.42,3566.63,0.02
A,3,3743.71,4674.92,0.06
A,4,2365.57,3313.49,0.31
A,5,1494.35,1581.16,0.11
A,6,4190.0,3375.73,0.1
A,7,4075.34,3349.03,0.12
A,8,3966.81,1315.49,0.12
A,9,608.12,2815.95,0.37
A,10,1306.97,435.45,0.1
A,11,2077.01,2927.11,0.1
A,12,4760.76,3476.82,0.22
A,13,1538.47,4393.87,0.08
A,14,2511.55,447.19,0.06
A,15,4203.63,1873.55,0.06
A,16,1451.0,2962.93,0.35
A,17,3542.69,393.03,0.64
A,18,3669.29,347.95,0.34
A,19,2887.43,2371.2,0.17
A,20,1953.17,698.07,0.02
A,21,342.15,4885.77,0.27
A,22,570.36,3237.06,0.03
A,23,775.68,1875.42,0.11
A,24,1459.86,3213.87,0.13
A,25,4674.03,2875.11,0.03
A,26,4123.4,6.84,0.06
A,27,2958.06,905.37,0.01
A,28,1468.8,2160.64,0.2
A,29,3862.22,3756.11,0.1
A,30,3005.66,562.17,0.18
A,31,2582.85,2049.72,0.09
A,32,1193.61,2007.05,0.47
A,33,4789.62,2037.07,0.2
A,34,3989.82,921.11,0.02
A,35,1095.22,184.07,0.09
A,36,987.04,3947.74,0.11
A,37,3715.95,3667.72,0.02
A,38,3943.32,4194.36,0.14
A,39,2181.06,1149.28,0.04
A,40,89.18,4648.78,0.2
A,41,4044.18,4037.06,0.11
A,42,1800.13,2317.42,0.2
A,43,2869.11,4329.94,0.02
A,44,2807.46,4430.2,0.08
A,45,4846.43,2054.53,0.08
A,46,1582.03,1488.09,0.1
A,47,2832.21,1151.12,0.13
A,48,1221.07,3908.54,0.02
A,49,2222.65,4828.84,0.22
A,50,392.09,1579.51,0.02
A,51,3374.13,3664.54,0.12
A,52,2791.2,398.54,0.12
A,53,3402.88,4359.81,0.21
A,54,2041.04,3734.3,0.02
A,55,1500.85,600.8,0.05
A,56,1127.43,4570.53,0.22
A,57,2571.8,3959.01,0.04
A,58,1762.42,152.21,0.3
A,59,3700.79,1920.39,0.02
A,60,4244.37,629.13,0.2
A,61,3829.82,4920.41,0.16
A,62,131.29,841.52,0.2
A,63,2658.08,4821.66,0.1
A,64,1468.1,518.85,0.02
A,65,2954.28,4441.2,0.32
A,66,1954.73,3825.64,0.2
A,67,1468.54,4120.33,0.08
A,68,4960.69,3453.17,0.06
A,69,534.12,2141.21,0.01
A,70,4200.42,2755.72,0.06
A,71,296.19,489.01,0.03
A,72,4697.5,1733.4,0.14
A,73,4938.63,3910.1,0.04
A,74,593.35,1455.37,0.03
A,75,4347.52,2638.72,0.15
A,76,2586.92,2806.26,0.06
A,77,813.13,1460.36,0.07
A,78,4862.67,285.68,0.28
A,79,4359.08,4654.91,0.03
A,80,4582.75,1826.96,0.01
A,81,3895.76,1461.81,0.35
A,82,3424.12,3065.84,0.16
A,83,4544.14,2534.13,0.04
A,84,4695.94,1444.8,0.2
A,85,2372.71,585.12,0.05
A,86,2577.27,2163.11,0.02
A,87,4649.7,2612.89,0.02
A,88,3016.04,936.75,0.09
A,89,2702.94,477.68,0.33
A,90,4689.24,3728.09,0.01
A,91,1635.83,2309.55,0.19
A,92,4688.55,360.87,0.06
A,93,2302.28,3135.92,0.11
A,94,1655.79,983.44,0.04
A,95,4511.09,1956.61,0.34
A,96,3948.22,1029.83,0.08
A,97,172.82,2738.5,0.02
A,98,4083.3,2783.43,0.09
A,99,16.14,1601.92,0.17
A,100,1908.94,1788.04,0.03
A,101,2344.65,2353.73,0.08
A,102,1498.45,4536.01,0.09
A,103,2413.07,657.36,0.52
A,104,2271.5,3586.75,0.12
A,105,4970.1,1595.69,0.87
A,106,837.63,136.24,0.04
A,107,2382.46,28.11,0.2
A,108,1615.31,3736.16,0.17
A,109,298.62,2695.49,0.16
A,110,2279.12,2352.2,0.01
A,111,1120.96,4102.09,0.07
A,112,3556.66,4608.25,0.05
A,113,3935.38,3196.39,0.16
A,114,4503.31,2198.01,0.27
A,115,4222.49,778.08,0.2
A,116,1196.1,4306.91,0.01
A,117,1842.63,4756.18,0.05
A,118,1104.67,1853.67,0.05
A,119,3034.58,1623.84,0.12
A,120,2794.96,3909.18,0.1
A,121,3709.3,2651.34,0.05
A,122,2467.46,2042.77,0.04
A,123,808.57,2181.5,0.29
A,124,261.66,4006.72,0.13
A,125,1116.78,1900.69,0.2
A,126,2458.29,1169.1,0.27
A,127,2088.61,2076.22,0.2
A,128,1630.95,4913.86,0.15
A,129,3906.97,2626.42,0.05
A,130,2517.16,376.63,0.2
A,131,2830.97,4343.17,0.1
A,132,950.46,3942.16,0.04
A,133,3055.63,2219.27,0.04
A,134,439.05,2798.23,0.2
A,135,1244.74,4899.03,0.02
A,136,3158.71,3250.91,0.03
A,137,4283.69,4000.04,0.15
A,138,706.95,396.59,0.03
A,139,4295.88,1304.79,0.17
A,140,4898.81,4338.69,0.07
A,141,1815.66,3256.53,0.06
A,142,2828.46,4169.3,0.2
A,143,4603.49,3849.7,0.36
A,144,4556.65,564.32,0.16
A,145,4376.82,4993.57,0.12
