Feature,Instance,LocX,LocY,Checkin
A,1,763602.55,13411245.3,0.3485560824232279
A,2,924331.8,13711860.13,0.4027575602948555
A,3,925687.81,13717495.75,0.011639955562209871
A,4,1002034.92,13613860.43,0.4077277615475127
A,5,987143.45,13662011.6,0.13879896430335148
A,6,1006954.07,13261713.06,0.8632117073283951
A,7,939098.01,13355927.09,0.0291617685098734
A,8,1015424.35,13595962.32,0.2808683873011606
A,9,800951.85,13311250.85,0.05272455873538506
A,10,684889.13,13469569.54,0.4803178808420786
A,11,824389.84,13154971.46,0.8648501300320391
A,12,990563.41,13552502.3,0.2918558354058859
A,13,1024112.82,13673680.45,0.1207877067391796
A,14,983466.78,13556912.79,0.8926540291895262
A,15,347422.96,13232738.6,0.1784529720909951
A,16,1030110.97,13646108.22,0.8250056194262102
A,17,907996.14,13411735.35,0.3198345270205436
A,18,905825.19,13404567.2,0.3044372334021068
A,19,905710.64,13401832.92,0.2444008444333909
A,20,911244.83,13615288.27,0.23281537365088
A,21,929970.66,13626719.9,0.7889345753688386
A,22,929846.25,13627182.11,0.7183526853158205
A,23,929795.26,13627293.48,0.7350686409207304
A,24,929803.42,13627646.55,0.3048969485913595
A,25,926971.16,13624585.93,0.3124961682535514
A,26,928574.56,13626966.04,0.5946838271669501
A,27,929336.38,13627139.79,0.9638068046878232
A,28,929335.36,13627587.52,0.4679285156348367
A,29,928701.03,13627630.95,0.7944279310053399
A,30,929838.09,13627753.47,0.9561371782497308
A,31,929705.53,13628607.72,0.2887170524343308
A,32,929744.28,13628611.06,0.5088690357847273
A,33,929696.35,13629299.37,0.4374354794245211
A,34,931214.6,13630663.72,0.9982153307212028
A,35,932403.3,13631154.89,0.9797961463051588
A,36,928810.15,13627822.52,0.6663442074151408
A,37,929331.28,13628293.64,0.9835995263399538
A,38,929575.0,13628317.03,0.4770688540870819
A,39,929414.9,13628472.96,0.3533222760098289
A,40,929318.02,13628490.78,0.5816559772863225
A,41,929564.8,13628505.25,0.00920384442481892
A,42,929138.54,13628521.96,0.12806704499911592
A,43,929565.82,13628789.26,0.2861433101760906
A,44,929475.07,13629138.98,0.6346620747516392
A,45,930002.27,13628935.17,0.9388147353984048
