Method,Min prevalent,Prevalent colocation,Execution Time,Memory used
Clique base,0.1,NaN,NaN,NaN
Clique base,0.15,NaN,NaN,NaN
Clique base,0.2,NaN,NaN,NaN
Clique base,0.25,NaN,NaN,NaN
Clique base,0.3,NaN,NaN,NaN
Joinless,0.1,1860,10507,438
Joinless,0.15,841,3787,282
Joinless,0.2,451,1037,260
Joinless,0.25,289,724,243
Joinless,0.3,162,295,236
Condense,0.1,1984,11741,548
Condense,0.15,898,3636,455
Condense,0.2,472,1383,473
Condense,0.25,296,867,396
Condense,0.3,163,338,366
DTC,0.1,124,3.2,207
DTC,0.15,59,3.7,206
DTC,0.2,34,3,199
DTC,0.25,59,2.9,198
DTC,0.3,12,3,206
DTKC,0.1,142,4.9,110
DTKC,0.15,72,4.9,111
DTKC,0.2,41,4.1,112
DTKC,0.25,28,4.3,111
DTKC,0.3,20,4.6,111
